Titre,Nom_Entreprise,Adresse,Descriptif_du_poste,Data_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat,Salaire,Freq,Sal,Salaire_Min,Salaire_Max
Software Engineer Front H/F,Yanport,Levallois-Perret (92),"Levallois-Perret (92)
CDI
38 000 € - 50 000 € par an
Pourquoi Yanport ?
Yanport, depuis sa création, poursuit l'objectif de centraliser, consolider, et exploiter les données immobilières. Forte de sa culture technique, la société est devenue un des leaders du marché de la donnée, et accompagne au quotidien les professionnels grâce à ses solutions et son entrepôt de données unique.
Confiant dans l’avenir et en pleine croissance, Yanport cherche à renforcer ses équipes et prône un management centré sur l’humain favorisant le bien-être de chacun. Nous souhaitons passer le cap de jeune startup innovante à celui d’entreprise responsable et durable sur le long terme.
Descriptif du poste
Nous recherchons des futurs développeurs passionnés par le web, prêts à développer côté Front mais aussi capable d’aider si besoin côté Back. Vous serez amené à développer les nouvelles fonctionnalités de l’application, d’en améliorer les performances, et de proposer une expérience utilisateur riche sur tous supports.
Ainsi votre rôle au sein de l’équipe technique sera de :
Développer les nouvelles fonctionnalités de notre application
Travailler sur la conception des écrans et des mockups en Material Design
Réaliser le responsive design du produit et l’adapter sur tous les supports
Développer de nouvelles API destinées au Front
Améliorer de façon continue le code pour en garantir sa robustesse et sa maintenabilité
Notre futur développeur devra donc avoir un bon dosage de compétences : à la fois techniques en Front (Typescript, Node, REST, POO) et des compétences de design et d’UX (Less, Material Design, Responsive, Progressive Web App).
Stack : Angular (7.x), Typescript, Node, Highcharts, Moment, Java, REST, Elasticsearch, Cassandra
Profil recherché
Ce que nous recherchons chez les candidats :
Expérience de 2 ans minimum, avec idéalement, une expérience significative dans le Front
Vous avez déjà eu une expérience en production avec Angular
Vous êtes sensible à la qualité du code et à sa maintenabilité
Vous êtes un vrai passionné du web et des nouvelles technologies
Vous avez une appétence pour le design et l’expérience utilisateur
Modalités
Début: Dès que possible - CDI - possibilité de télétravail
Rémunération: de 38k à 50k selon profil + mutuelle + 50% titre de transport
Type d'emploi : CDI
Salaire : 38 000,00€ à 50 000,00€ /an
Expérience:
Langages de programmation: 2 ans (Souhaité)
il y a 30+ jours
Signaler cette offre d'emploi",,software_engineer,Paris,16/10/2019,vjk=aaa21dd66a36df64,senior,cdi,38 000 € - 50 000 € par an,Annuel,"[38000, 50000]",38000.0,50000.0
Ingénieur Logiciel embarqué Sécurité - IoT,Sept Lieues,Paris 15e (75),"Paris 15e (75)
CDI
37 000 € - 53 000 € par an
Start up qui travaille sur les nouveaux sujets de paiements à travers le secteur de l'IoT. Ils interviennent en majorité à l'international.
LE POSTE / LES MISSIONS
Au sein d'une équipe R&D, sous la responsabilité du Responsable SW embarqué, vos missions seront :

Développement logiciel embarqué sur les nouveaux produits
Maintenir le logiciel embarqué sur les produits existants
Travailler sur tout le cycle de développement
Déplacements à l'étranger 1 ou 2 fois par an
PROFIL RECHERCHÉ
De formation Ingénieur ou équivalent Bac+5.
4 ans minimum d'expérience.

Expérience en logiciel embarqué, sur tout le cycle de développement (parties conception et validation importantes)
Maîtrise du langage C
Expérience sur au moins une des cibles ARM (STM32), Atmel, Freescale
Environnements FreeRTOS et Linux
Anglais courant (clients internationaux)

Les + :
Expérience ou connaissance en paiement EMV, PCI
Expérience sur carte à puce
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",,software_engineer,Paris,16/10/2019,vjk=2df4664201a1acee,confirmé,cdi,37 000 € - 53 000 € par an,Annuel,"[37000, 53000]",37000.0,53000.0
Software Engineer Node.js / React - H/F,Seyos,Paris 10e (75),"Paris 10e (75)
Temps plein, CDI
60 000 € - 80 000 € par an
Seyos est un cabinet de recrutement spécialisé dans les métiers de l'IT. Nous proposons aux candidats des opportunités professionnelles uniquement au sein de clients finaux : éditeurs de logiciels, startups, DSI.

Notre client est une entreprise innovante composée de 30 collaborateurs qui développe depuis décembre 2016 une plateforme de réservation de services traiteurs dédiée aux entreprises.

La société offre une expérience utilisateurs unique permettant de commander sur un seul site les produits d'environ 500 traiteurs disponibles en quelques clics.

Actuellement en hyper-croissance sur le marché de la restauration d'entreprise, la startup développe ses services à travers le monde (Europe + US).

Prêt à rejoindre la startup en pleine croissance

Localisation : Paris (10ème arrondissement)
Environnement technique : Node.js, React, MongoDB, GraphQL et PostgreSQL
Rémunération : 60 000 / 80 000 Euros

Vos missions consisteront à :
Concevoir, architecturer, développer de nouvelles fonctionnalités sur la plateforme,
Optimiser les fonctionnalités existantes,
Participer à l'évolution technique de la plateforme (veille technologique),
Votre profil :
Au moins 5 ans d'expérience professionnelle dans le développement web, avec une expertise en Node.js
Solide connaissance pratique de JavaScript, idéalement en React.js
Solide expérience des bases de données NoSQL et SQL (MongoDB et Postgre sont souhaités mais pas obligatoires)
Maitrise de l'anglais est requise
Les + :
Un salaire compétitif basé sur le marché
Stock Option
Un nouveau bureau avec vue panoramique sur la Seine et la Tour Eiffel
Voyages à Boston (réunions d'équipe, hackatons...)
Si ce poste vous intéresse, n'hésitez pas à contacter Justine Thiriet, Chargée de recrutement IT en charge de ce poste.
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",,software_engineer,Paris,16/10/2019,vjk=d8c9a8d95cbec8b3,senior,cdi,60 000 € - 80 000 € par an,Annuel,"[60000, 80000]",60000.0,80000.0
Ingénieur Logiciel embarqué expert C / Bare-metal,Sept Lieues,Neuilly-sur-Seine (92),"Neuilly-sur-Seine (92)
CDI
43 000 € - 63 000 € par an
PME (100 personnes dont 20 en R&D), un bureau d'étude qui conçoit, fabrique et commercialise des objets connectés.
LE POSTE / LES MISSIONS
Au sein d'une équipe en collaboration quotidienne avec les différentes équipe SW embarqué, les missions seront :

Intervention sur toutes les parties du logiciel embarqué
Design de nouveaux produits IoT
Selon l'envie possibilité de relation client
PROFIL RECHERCHÉ
De formation Ingénieur ou équivalent Bac+5 ou équivalent
4 ans minimum d'expérience.

Expert en C embarqué
Expérience en Bare-metal
Expérience sur petits systèmes embarqués avec des contraintes fortes (mémoire, ...)
Expérience sur micro-controleurs
Expérience sur cibles ARM
Maîtrise Linux utilisateur à minima
Déjà travaillé sous ou intéressé par méthode Agile scrum
Connaissance Git
Anglais courant (important)

Les ""+"" :
Maitrise ou connaissance de Python et C++
Contributeur Kernel Linux
Connaissance RTOS
Expérience ou connaissance Bluetooth, Wi-Fi, BLE
Expérience en électronique (débugger, analyses de consommation courant, ...)
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",,software_engineer,Paris,16/10/2019,vjk=788b144de010806d,confirmé,cdi,43 000 € - 63 000 € par an,Annuel,"[43000, 63000]",43000.0,63000.0
Ingénieur Logiciel embarqué C,Sept Lieues,Paris 8e (75),"Paris 8e (75)
CDI
39 000 € - 70 000 € par an
PME innovante dans le domaine des Télécoms / IoT.
Elle fournit des produits et services au grand public et professionnel.
Organisation interne avec une hiérarchie à l'horizontale.
LE POSTE / LES MISSIONS
Au sein d'une équipe produit, vos mission seront :

Développement des produits existants et nouveaux produits
Développement Logiciel embarqué bas niveau et middleware
Définir des architectures
PROFIL RECHERCHÉ
De formation Ingénieur ou équivalent Bac+5.
2 ans minimum d'expérience.

Expérience en Logiciel embarqué
Maîtrise du langage C
Avoir travaillé sur des architectures et le reste du cycle de développement
Connaissances ou compréhension des contraintes HW
Bonne connaissance des protocoles réseaux : TCP/IP, UDP, ...
Connaissance de l'environnement UNIX
Esprit d'équipe
Autonomie sur vos tâches
Anglais courant

Les + :
Expérience sur des marchés à grande échelle
il y a 4 mois
- Continuer pour postuler
Signaler cette offre d'emploi",,software_engineer,Paris,16/10/2019,vjk=c3b8a22a0ac4be4b,confirmé,cdi,39 000 € - 70 000 € par an,Annuel,"[39000, 70000]",39000.0,70000.0
Ingénieur logiciel embarqué Senior C ou Java,Sept Lieues,Paris (75),"Paris (75)
CDI
43 000 € - 75 000 € par an
Petite équipe R&D (25 personnes) au sein d'un Grand groupe mondial qui fournit des solutions de sécurité pour la TV Numérique/véhicule connecté/ ...

Sont présents à l'international sur 3 pôles principaux
LE POSTE / LES MISSIONS
Vous serez intégré à l'équipe R&D France et vos missions seront :

Prendre en charge le développement complet d'une fonctionnalité du produit (conception, design, implémentation, ... Tout le cycle de développement)
Monter en compétence sur des sujets qui vous intéresse
Travailler en embarqué niveau middleware
PROFIL RECHERCHÉ
De formation Ingénieur ou Bac +5
5 ans minimum d'expérience

Aimer intervenir sur tout le cycle de développement
Maîtrise langage C ou Java (connaissance des deux langages un plus)
Connaissance méthode Agile ou intérêt
Maîtrise sous Linux ou Windows
Anglais courant

Les plus :
Connaissances TV Num
Expérience sur Android TV
il y a 10 mois
- Continuer pour postuler
Signaler cette offre d'emploi",,software_engineer,Paris,16/10/2019,vjk=122358a87c8875dc,senior,cdi,43 000 € - 75 000 € par an,Annuel,"[43000, 75000]",43000.0,75000.0
JUNIOR FULLSTACK SOFTWARE ENGINEER : ANGULAR /JAVA – TAILLE...,In-Team,Hauts-de-Seine,"Hauts-de-Seine
35 000 € - 45 000 € par an
Vous souhaitez monter en compétences dans une équipe bienveillante et passionnée?
Travailler en équipe en associant analyse et technique vous intéresse?

Contexte de l’entreprise
Cette entreprise de près de 30 personnes a développé une solution SaaS permettant d’aider les administrations publiques (APU) et les collectivités territoriales à mieux gérer leurs achats d’un point de vue réglementaire, financier et favoriser un meilleur suivi, une meilleure collaboration des différents projets pour gagner en productivité et faire des économies.
La stack Technique
Environnement technique :
Angular.Js, React.Js, Java Spring, Node.Js ,oracle
Responsabilités
Analyser l’existant et les besoins utilisateurs et proposer de nouvelles solutions
Travailler sur l’optimisation et la performance des fonctionnalités existantes
Assurer la veille technique et ne pas hésiter à innover et à participer aux réflexions techniques
Pourquoi rejoindre cette entreprise
Monter en compétences sur différents frameworks et langages tant Front que Back-End
Entreprise à taille humaine qui rassemble des personnes bienveillantes et passionnées prête à t’accompagner dans ton développement
Satisfaire sa curiosité en découvrant des problématiques métiers et des secteurs d’activités très variés
Avantages et salaire
Contrat en CDI
Salaire 35K->45K€
Transport 50% et mutuelle

La prochaine étape –>
Si vous êtes intéressé ou si vous avez des questions, appelez moi au 01 75 43 53 70
il y a 10 mois
- Continuer pour postuler
Signaler cette offre d'emploi",,software_engineer,Paris,16/10/2019,vjk=e997beb8c9e3945b,junior,cdi,35 000 € - 45 000 € par an,Annuel,"[35000, 45000]",35000.0,45000.0
Software Engineer,Partoo,Paris (75),"Paris (75)
CDI
40 000 € - 60 000 € par an
Nous développons aujourd’hui de nouvelles solutions innovantes pour nos clients, ce qui suppose le renforcement de notre équipe technique !
Responsabilités
Renforcer & améliorer l’architecture logiciel
Développer de nouveaux produits en relation avec le Product Owner et le Designer
Travailler sur l’intégration de nouvelles APIs aux modules de pushers
Développer le renforcement de notre algorithme d’analyse de visibilité via API
Optimiser la création de notre API pour permettre à nos clients & partenaires d’utiliser la technologie Partoo en marque blanche
Conditions de travail
Conduite de projet
Participation à la création de produits innovants dans une start-up en forte croissance
Equipe dynamique située au Cargo (157 Boulevard Macdonald, 75019, Paris), en Italie & en Espagne
Activités diverses (sport, apéros, séminaires…)
Salaire compétitif
Profil recherché
Compétences
Expérience en Python sur un stack web
Expérience avec React JS et MongoDB
Maîtrise de Git
Projets de création / d’intégration d’API
Bonnes connaissances en algorithmie et Design pattern
Excellent(e) en problem solving
Bonne communication orale et écrite des challenges techniques
Esprit d’équipe
Déroulement des entretiens
un premier échange par téléphone suivi d’un test de programmation à faire tranquillement chez soi
2 entretiens techniques dont un avec le CTO
Entretien avec le COO ou le CEO
il y a 11 mois
- Continuer pour postuler
Signaler cette offre d'emploi",,software_engineer,Paris,16/10/2019,vjk=42b2cf0572487b17,senior,cdi,40 000 € - 60 000 € par an,Annuel,"[40000, 60000]",40000.0,60000.0
Senior Data Scientist,Pivot & Co,Paris 8e (75),"Paris 8e (75)
Temps plein, CDI
60 000 € par an
Areas: Data Science, Media Effectiveness, ROI, Marketing Mix Modelling, Marketing Science
ABOUT PIVOT & CO
Pivot and Co is strategic advisory, with acceleration teams, focused on data-driven growth & transformation in large organizations. We work with global leaders in consumer goods and luxury goods to build the bridge between data and business growth. Pivot & Co also invests in and advises Marketing Technology start-ups that will change the rules of media and marketing performance tomorrow.
Our team comprises strategy consultancy profiles, data scientists, and digital entrepreneurs. Our leaders have all worked in top executive roles in large organizations (FMCG and Luxury), as well as in strategic consultancies and agencies.
PIVOT & CO SEEK TO INTEGRATE A SENIOR DATA SCIENTIST
Pivot is recruiting a senior data scientist, working in the data science team (4 persons to oversees the activities of the junior data scientists and provides advanced expertise on statistical and mathematical concepts for the broader Data science team, to solve Pivot & Co clients problems.
The Senior Data Scientist applies and inspires the adoption of advanced data science and analytics across Pivot clients with the focus on excellence and delivery.
Main challenges are
- Sales uplift modelling in Marketing
- ROI modelling
- Rationale investments decision for A&P allocation and brand planning process
- Modelling cumulative effect and activities impact on sales/Brand equity
ROLES & RESPONSIBILITIES
1. Data collection and data cleaning
2. Create composite KPIs to reflect the Marketing Return of Investment
3. Model channel contribution by application of advanced statistical methods: (Linear regression, Neural network, stochastic gradient boosting)
4. Present key findings with structured memos or PPT to Pivot Team or Pivot clients
PROFILE
· BAC +4/5 (Maths/Stats/Operational Research/Engineer, Econometry)
· Advanced knowledge in one statistical toolbox: R, Python – Good command in Python is a plus
· Interest for Marketing analytics: Marketing effectiveness, Digital media, Brand planning
· Autonomy and ability to work in project mode and manage multi-task
· Ability to develop a real closeness to clients, based on a sense of commitment and a culture focused on result
· A ""positive” attitude
GENERAL INFORMATION
· Work Office: 24 avenue Georges V, Paris 8 (Métro Alma Marceau, Charles de Gaule Etoile, Georges V)
· Salary: Good package
WHY PIVOT?
· The Pivot team is small and tight-knit. The consulting missions are led by senior associates, all from operational departments in the largest groups.
· A high level of responsibility and interactions. We’ll give you responsibility for deliverables from day one; your work will be important!
· Diversity of assignments to strengthen training and performance.
· Cooperative work atmosphere, fast decision-making mode, short hierarchy line.
Avantages :
Participation au transport
Job Types: Full-time, Permanent
Salary: 60,000.00€ /year
il y a 11 jours",,Data_scientist,Paris,16/10/2019,vjk=f74c94c78f09bd8e,senior,cdi,60 000 € par an,Annuel,[60000],60000.0,60000.0
Stage - Data Analyst / Data Scientist,Intuiface,Labège (31),"Labège (31)
Stage
700 € par mois
Nous sommes une équipe de 40 personnes de 6 nationalités différentes à Labège, Chicago et Taipei. En tant qu'éditeur logiciel, notre mission est de fournir une plateforme permettant aux créatifs professionnels de créer et diffuser des applications interactives.
Mais qu’est-ce qu’une application interactive ? Une vidéo valant mille mots, celle-ci devrait répondre à votre curiosité. Et pour comprendre comment nos utilisateurs arrivent à de tels résultats, vous pouvez jeter un œil à cette autre vidéo.

Cela se traduit par :
Des dizaines de milliers d'utilisateurs actifs dans 1500 entreprises dans plus de 80 pays à travers le monde, y compris de grandes sociétés internationales telles que Dell, Capgemini, Bosch, Deloitte, GE, Intel, Microsoft, Novartis et IBM ; des retailers comme Walgreens, Puma, ou Hugo Boss ; et des agences Web ou des intégrateurs systèmes comme Accenture, Diversified ou Toshiba.
85% de l’activité réalisée à l’international.
Le travail que nous faisons au quotidien est fortement apprécié de nos clients et est d’ailleurs mis en valeur sur notre site web, partagé sur Twitter / Facebook / LinkedIn , #intuiface,
Un produit en constante évolution avec de gros investissements sur la R&D et sur l’innovation (1 brevet par an).
Le choix de tout développer en interne et à Toulouse sans faire appel à de la sous-traitance pour garantir la robustesse, l’homogénéité et la pérennité de la plateforme.
Une croissance annuelle de 40% soutenue depuis 3 ans portée par un modèle d’abonnement freemium.
Description du poste
La société Intuiface collecte depuis plus de 5 ans une grande masse de données structurées (plusieurs millions de data points) liées aux usages de son produit à travers son cycle d'utilisation chez ses utilisateurs clients ou gratuits.

Nous souhaitons non seulement rendre ces données plus accessibles à l'ensemble des corps de métiers de l'entreprise mais aussi être capables de prédire un certain nombre de comportements futurs chez nos utilisateurs.

Vous aurez ainsi la responsabilité de:
La mise en place d'outils sans programmation (utilisable par le marketing et le management) pour accéder à l'ensemble des données générées par la plateforme Intuiface (achat, usage, etc.). www.metabase.com est, à titre d'exemple, le type d'outillage que nous souhaiterions mettre en place.
L'analyse des comportement utilisateurs qui les amènent à arrêter l'utilisation du produit, ou au contraire à étendre son utilisation, ou même à le réactiver. Cette analyse devra conduire à établir des patterns et en déduire des comportements futurs (prédictions). Pour arriver à celà, nous envisageons que vous utilisiez des outils comme R pour les aspects statistiques, et du Machine Learning (Google Tensor flow, SageMaker d'AWS - nous sommes très AWS chez Intuiface - ou même des plateformes plus ""abstractive"" comme www.datarobot.com).
Profil recherché
En 5ème année post-bac
Durée du stage: de 4 à 6 mois
Des connaissances en base de données SQL
Une expérience projet ""R""
L'anglais est un plus
De la pédagogie et une bonne communication

Few more things...
Stage rémunéré à hauteur de 700€ brut par mois ou plus selon compétences et expérience
Tickets Resto & remboursement de 50% de l'abonnement de transport,
Un environnement de travail décontracté, dynamique et convivial dans des super bureaux !
Des M&Ms, café et thé...
il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",,Data_scientist,Toulouse,16/10/2019,vjk=ec3bad6bcee721cf,senior,stage,700 € par mois,Mensuel,[700],8400.0,8400.0
Junior Data Scientist,Montreal Associates,Toulouse (31),"Toulouse (31)
CDI
32 000 € - 35 000 € par an
Start up dans l'IoT
Entreprise en pleine croissance
Autonomie et responsabilité
Localisation : Toulouse (31)
Contrat : CDI
Salaire : Selon profil (Entre 32.000,00 et 35.000,00 €)

Notre client est une start up de l'industrie de la Domotique. En forte de croissance depuis sa création, ils travaillent sur des sujets de temps réel, de maintenance prédictive et d'optimisation de leurs produits notamment grâce à des algorithmes dans le cloud.
Dans cette optique d'industrie 2.0, l'entreprise est à la recherche d'un Data Scientist qui aura la charge de traiter l'ensemble des données collectés par les objets (plusieurs millions de données).

Quel sera votre rôle ?

Accompagné par un chef de projet spécialisé dans le développement de systèmes embarqués, vous interviendrez sur l'ensemble des problématiques liées à la Data.
Après avoir assimilé les problématiques métiers, vous serez notamment attendu sur les missions suivantes :
Identification et analyse des données
Développement des solutions data aux problématiques métiers
Test des solutions
Mise en production des solutions
Qui êtes-vous ?
Titulaire d'un BAC +4/5
Expérience en traitement et analyse des données
Expérience en algorithmie
Confirmé sur Python et SQL
Des connaissances Docker, GIT et MQTT sont un plus
Montreal Associates is acting as an Employment Agency in relation to this vacancy.

JN -092019-51039_156887774869313
il y a 26 jours
- Continuer pour postuler
Signaler cette offre d'emploi",,Data_scientist,Toulouse,16/10/2019,vjk=6f2d28df5da32fc2,junior,cdi,32 000 € - 35 000 € par an,Annuel,"[32000, 35000]",32000.0,35000.0
Data Scientist/ Big Data,ALTEN,Toulouse (31),"Toulouse (31)
CDI
30 000 € - 50 000 € par an
Partenaire technologique de référence des plus grandes entreprises françaises et internationales, ALTEN est devenu en 30 ans le leader européen de l’Ingénierie et du Conseil en Technologies (28 000 collaborateurs dont 88% d’ingénieurs – CA de 2 Milliards €- implantation du groupe dans 20 pays). Labélisé ""Top employeur"" 2018, ALTEN est un acteur majeur du recrutement d’ingénieurs en France.
Rejoindre ALTEN, c'est la promesse de participer, en France comme à l'International, aux projets technologiques les plus passionnants, notamment dans le secteur aéronautique pour nos équipes d'ALTEN Sud-Ouest.
Descriptif du poste :
Nous recherchons notre futur consultant Data Scientist Big Data qui aura pour mission de :
- Mettre en oeuvre des solutions Big Data en utilisant les frameworks de dernière génération (Hadoop/ Spark/ Cloudera/ Pivotal).
- Gérer l'acquisition et l'organisation des données
- Concevoir des algorithmes sur la base de Proof of Concept pour permettre des analyses statistiques
Description du profil :
De formation supérieure Informatique (Bac+5), vous bénéficiez d'une première expérience réussie dans le déploiement de solutions BIG DATA. Autonome et dynamique, vous êtes doté(e) d'un excellent relationnel et d'une grande adaptabilité. N'hésitez pas à candidater pour en savoir plus.
Type d'emploi : CDI
Salaire : 30 000,00€ à 50 000,00€ /an
Expérience:
data scientist/ big data ou similaire: 1 an (Souhaité)
il y a 30+ jours
Signaler cette offre d'emploi",,Data_scientist,Toulouse,16/10/2019,vjk=e3836a643b20ef2e,senior,cdi,30 000 € - 50 000 € par an,Annuel,"[30000, 50000]",30000.0,50000.0
Stagiaire Data Scientist Géo Big Data,Gisaïa,Blagnac (31),"Blagnac (31)
Stage
900 € par mois
Vous êtes passionné(e) par l’exploration de données issues d’environnements riches et variés afin de les comprendre et les valoriser ? Les algorithmes et l’innovation vous attirent ? Vous avez envie de plonger dans l’univers Big Data ?
Rencontrons-nous !
Gisaïa est une jeune société innovante dans l’univers des applications cartographiques (données spatiales/géolocalisées) et du Big Data. Nous relevons le défi de façonner et d’analyser les grands volumes de données pour les enrichir et les rendre accessibles et compréhensibles par tous au travers de techniques de visualisation novatrices et efficaces.
Gisaïa édite la solution open source ARLAS d’analyses spatio-temporelles et geo-exploration Big Data : traiter, analyser et représenter sur une carte de très grands volumes de données avec une remarquable fluidité et une expérience utilisateur significative www.arlas.io

Pourquoi Gisaïa ?
Gisaïa est un lieu d’échange, d’épanouissement, de créativité et d’innovation ; vous intégrerez une équipe talentueuse et enthousiaste dans une entreprise où l’humain est capital.
Dans nos locaux, au sein d’Ethics Biotope à Toulouse Blagnac, vous évoluerez dans un environnement moderne et vivifiant. La société est dans une phase d’accélération basée sur une offre forte et à haut potentiel.
Description du poste
Avec le support des ingénieurs Gisaïa vous :
Confrontez les algorithmes à l’étude à l’état de l’art maintenu par la société
Concevez des algorithmes d’enrichissement de la donnée (machine learning)
Développez des prototypes de manière à en mesurer le potentiel : résultats et performances
Mettez en place des flux de données hétérogènes, structurez l’espace des données cibles, appliquez des pré-traitements aux données
Implémentez les algorithmes dans un environnement scalable Big Data
Vous travaillez dans l’environnement ARLAS solution d’exploration Geo Big Data.
Vous participez à la vie de la société, vous êtes intégré(e) aux équipes GISAIA et travaillez selon les méthodes en cours dans la société : méthodes Agile, intégration continue, procédures et techniques de développement.
Profil recherché
En cours de formation supérieure (école d’ingénieur ou master) mathématiques / statistiques orientées data science, vous connaissez un ou plusieurs langages (Python, Java, Scala). Vous évoluerez dans un écosystème technique évolué et travaillerez en équipe tout disposant d'une belle autonomie.
Vous êtes curieux(se), créatif(ve), dynamique, efficace et porté(e) vers les nouvelles technologies.
Vous vous épanouissez dans:
L’algorithmie, intelligence artificielle / machine learning,
La modélisation et l’organisation des données,
Les environnements Big Data,
Le développement bien fait et l’utilisation de techniques efficaces.
Exemples d’environnements techniques :
INTELLIGENCE ARTIFICIELLE - Jupyter, TensorFlow, Keras, Scikit
DATA - MongoDB, ElasticSearch, Cassandra, PostgreSQL / PostGIS
BIG DATA - Spark, OpenStack, Kubernetes, Mesos, Docker
VISUALISATION - Data visualization: D3js, Leaflet, Kibana
DEV - JAVA, Python, Scala, C++, NodeJS, git, maven, gradle, docker, intégration continue
WEB - Angular, CSS, Javascript & Typescript
SIG - Services OGC, serveurs SIG libres ou propriétaires, outillages divers
Conditions
Gratification : 900 € / mois pour PFE
Tickets restaurant, prise en charge à 50% des transports publics.
Lieu du stage : Toulouse Blagnac
Le stage peut se prolonger via une alternance ou 1 CDI selon votre profil
il y a 12 mois
- Continuer pour postuler
Signaler cette offre d'emploi",,Data_scientist,Toulouse,16/10/2019,vjk=8582c7978a6febf2,junior,cdi,900 € par mois,Mensuel,[900],10800.0,10800.0
Ingénieur Data Scientist H/F,EPSILON-ALCEN,Nantes (44),"Nantes (44)
CDI
30 000 € - 50 000 € par an
A compétences égales, le poste est ouvert aux personnes en situation de handicap
EPSILON est une société du groupe ALCEN qui répond à différents besoins de conception et d’optimisation de systèmes pour les grands secteurs industriels (énergie, aéronautique, spatial). EPSILON mène des études pour le perfectionnement des produits de ses clients ou pour ses propres technologies et s’engage sur des projets complexes de conception-réalisation avec le support et la puissance industrielle du groupe ALCEN.
Epsilon se développe dans les domaines de la physique, de l’informatique scientifique et enfin de la Performance Opérationnelle. Ainsi, en alliant sa capacité de modélisation / simulation multi-physiques et sa vision système, EPSILON permet de raccourcir les délais entre les phases amont des projets et les essais de validations.
EPSILON a fait le choix de l’expertise en cultivant certaines spécialités depuis de nombreuses années tout en ayant la performance opérationnelle d’un groupe industriel et de haute technologie comme ALCEN. Son positionnement à la fois « services » et « produits » est unique dans le domaine de l’ingénierie et permet à ses ingénieurs d’exprimer tous leurs talents.
La société est maintenant organisée en trois centres de compétences :
EPSILON PHYSICS : dédié aux calculs scientifiques notamment la
Thermique, Mécanique et Fluidique,
EPSILON DIGITAL : dédié à la transformation digitale de l’industrie et
des laboratoires
EPSILON SYSTEM : dédié aux essais, à la conception et intégration de
systèmes.
Ainsi, pour développer son activité en région Pays de la Loire, nous recherchons un(e) Ingénieur(e) passionné(e) par la data science pour nous aider sur des sujets liés aux secteurs du transport, de l'énergie et du naval.
http://www.epsilon-alcen.com/fr
http://www.alcen.com/fr
https://www.linkedin.com/company/epsilon-ing-nierie/
Pour contribuer au développement de notre offre Data Science, vous aurez l'opportunité de travailler sur des sujets variés à forte valeur ajoutée : des projets majeurs d'innovation et d'ingénierie technologiques pour le compte de grands groupes industriels et de leur R&D (secteur naval, transport, énergie).
Vous intégrez une équipe en forte croissance pour prendre en charge les missions suivantes :
MISSIONS :
Travailler sur un grand nombre de problèmes variés;
Identifier les besoins et apporter des méthodes rigoureuses et innovantes en utilisant les données disponibles ;
Travailler dans un cadre Big Data sur des ensembles de données volumineux et complexes ;
Analyse exploratoire de problématiques complexes,
Collecte et manipulation de données structurées et/ou non structurées,
S'appuyer sur vos compétences mathématiques et statistiques pour caractériser, modéliser et prédire des phénomènes complexes,
Développer des logiciels spécifiques pour analyser des données massives issues du monde industriel ou de travaux de R&D,
Réaliser des études en coopération avec des équipes pluridisciplinaires ;
Communiquer avec des experts métiers issus de domaines variés,
Déploiement de solutions opérationnelles,
Participer à la montée en compétences de l'équipe Data Science ;
PROFIL:
Vous êtes issu(e) d'une formation en mathématique/informatique de niveau Bac+5 (Ecole d’ingénieur ou Master) ;
Vous justifiez d’une première expérience professionnelle d’au moins 2 ans sur des aspects de Data Science (modélisation statistique, machine learning, analyses variées, etc.) idéalement sur de gros volumes de données qui vous a permis de développer les compétences suivantes :
Développement d’algorithmes et de modèles de traitement des données.
Mise en place de solutions techniques pour répondre à un besoin précis.
Capacité d’analyse et de résolution de problématiques.
Rigueur et autonomie.
Force de proposition.
Curiosité intellectuelle.
Apprentissage et partage de nouvelles techniques.
Bon niveau d'anglais à l'écrit comme à l'oral.
CONNAISSANCES & COMPÉTENCES REQUISES (LOGICIELS) :
Maîtrise d’un ou plusieurs langage de programmation : Python / C++ / R
Web : HTML, CSS, Javascript.
Base de données : SQL.
Outil BigData : Spark, Hadoop, Pandas…
Connaissances en Machine Learning: SVM, CRF, Random Forest, Neural Network (RNN, CNN, LSTM, …) etc.
Environnement : UNIX, Windows.
Outils : git, svn.
Des connaissances en HPC seraient un plus.
Type d'emploi : CDI
Salaire : 30 000,00€ à 50 000,00€ /an
Expérience:
ingénieur data scientist ou similaire: 2 ans (Souhaité)
il y a 1 jour
Signaler cette offre d'emploi",,Data_scientist,Nantes,16/10/2019,vjk=3d2de527d95de984,senior,cdi,30 000 € - 50 000 € par an,Annuel,"[30000, 50000]",30000.0,50000.0
