Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant
INGENIEUR BIG DATA ANALYTICS - F/H,Ingeniance,La Défense (92),vide,"Contexte de la mission :
Notre client est une banque de financement, d'investissement et de services, qui développe également une offre originale en matière de gestion du poste clients.
Chez INGENIANCE notre Lab � BigData Analytics �, est un véritable terrain d'expérimentation de mise en place de cluster hadoop, de montée en compétence sur des architectures d'applications distribuées (Lambda, Smack, Microservices). Ce dispositif permet à nos collaborateurs de maîtriser des outils tels que Spark, Kafka, Elasticsearch, Hbase, Hive, Cassandra.

Notre Lab permet également de créer des modèles Machine Learning (classification, régression, clustering) avec Spark-Mllib, Tensorflow, Sickit-learn.
Missions:
Participer à la veille technologique au sein de nos communautés,
Être accompagnés avec nos éléments référents, experts dans le domaine
Conseiller nos clients sur les produits du marché
Participer au développement de nos événements techniques internes (Speed training, Meetup) et externes

Chez nos clients :
Intervenir dans des environnements en transformation notamment sur les sujets du Big Data. Voici une liste indicative des activités qui pourraient vous être confiées:
Analyser les besoins clients et formaliser des Use Cases clients,
Participer activement à la conception et à la réalisation des solutions Big Data,
Développer une approche analytique ou machine learning en fonction du besoin,
Développer des solutions d'ingestion de données depuis des sources multiples pour les déverser dans un data lake : Nifi, Sqoop, Kafka, etc.
Passer de la donnée brute à de la donnée propre (inférer les schémas de données, nettoyer et normaliser les données, publier les données)
Consolider les données au fur et à mesure de leur alimentation récurrente dans le data lake.
Exploiter les résultats pour atteindre la finalité business : exposition de business view, réintégration des résultats dans le SI, etc.
Mettre en place et garantir le respect dans la durée d'un processus qualité sur l'ensemble du cycle de développement et d'industrialisation (documents, tests unitaires / intégrations / fonctionnels, commentaires, versionning, etc.)
Environnement technique du projet :
Horton Works, Cloudera, Spark, NoSQL
Profil recherché:
Vous êtes passionné(e) d'innovations technologiques, désireux de partager vos compétences au sein d'une équipe en recherche d'excellence.
Vous disposez d'une bonne première expérience en big data, gestion des bases de données NoSQL et maîtrisez les environnements Hadoop du type Hortonworks, Cloudera, Spark, etc.
Vous êtes reconnu(e) pour votre énergie, votre pertinence, votre polyvalence, votre curiosité et votre capacité à mener à bien des projets.
Vous avez un bon sens de la communication et avez des capacités affirmées d'analyse et de synthèse et êtes à l'aise en anglais, tant à l'oral qu'à l'écrit.
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.

Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.

Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=dc68164434ac3546
ARCHITECTE BIG DATA - F/H,Ingeniance,Paris (75),vide,"Contexte de la mission :
Au sein de la DSI d'une banque de détail, les missions principales du département et de l'architecte big data consistent à:
Veiller à la cohérence d'ensemble du SI Réseaux France en termes d'architecture fonctionnelle, applicative et technique, de référentiels et d'administration des données.
Apporter un support aux directions fonctionnelles et au Centre de Solution Mutualisé dans les études et la conception.
Assurer la maîtrise d'ouvrage et la maîtrise d'oeuvre des socles logiciels stratégiques et pérennes.
Offrir un support et une assistance technique aux équipes utilisant ces socles logiciels de développement.
Réaliser une veille technologique avancée, identifier et prototyper l'usage de solutions technologiques big data.
Identifier de manière anticipée les travaux à mener pour éviter toute obsolescence des solutions SI.
Dans ce cadre la Prestation consiste à contribuer à/au(x):
Mener les projets Big Data de la Banque de détail sur les aspects d'architecture fonctionnelle et applicative.
Préconiser des solutions répondant aux enjeux métier dans le respect des principes d'architecture SI en général et Big Data en particulier.
Participer aux Comités d'Architecture d'Entreprise visant à obtenir la validation de l'architecture des solutions proposées.
Produire des études d'architecture Big Data permettant de construire et faire évoluer le cadre de référence pour les projets.
Contribuer à l'évolution de la vision Data du Datalake.
Mettre en place des principes de gouvernance de la donnée et des projets Big Data.


Profil recherché :


Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5), vous avez un excellent relationnel et disposez d'une bonne capacité d'analyse. La connaissance des méthodes et technologies de développement BigData (Spark, Hadoop) vous permettront de mener à bien la mission.
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies. Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps. Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=dc0e0ac20969c0f7
CDI - BIG DATA ENGINEER- F/H,Ingeniance,La Défense (92),vide,"Missions :
Rattaché à nos experts, au sein de notre lab � Big Data �, vous :
aurez en charge la réalisation d'un prototype Big Data (technologies Hadoop HDFS, Hive, Spark, etc)
participerez aux activités de veille technologique sur le domaine du Big Data (recherches, expérimentations, etc)
participerez à la rédaction d'articles et à l'animation de nos réseaux sociaux sur le domaine du Big Data
évoluerez dans des équipes fonctionnant en méthode Agile
utiliserez les outils DevOps déployés sur nos chaînes d'intégration continue (Jenkins, Docker, Git, etc)
Ce poste sera l'occasion d'intégrer notre programme de formation interne avec pour objectif d'acquérir les compétences fonctionnelles de base sur nos secteurs d'activité (finance de marché, banque et assurances) mais aussi de solides connaissances techniques.

Vous êtes diplômé d'une école d'ingénieurs ou équivalent. Une spécialisation dans le génie logiciel sera vivement appréciée.
Réactif, avec le sens du service, vous justifiez de bonnes capacités d'écoute, d'un bon relationnel et une bonne gestion du stress.
Curieux, autonome, et proactif, vous avez les qualités nécessaires à ce projet.
Vous êtes intéressé par le conseil, les systèmes d'informations et le secteur de la Banque/ Finance/ Assurance
Compétences requises :
Des compétences en développement : Java ou Python.
Des compétences des OS Linux et Windows ;
Des compétences sur le framework Hadoop ;
Une connaissance théorique et idéalement pratique de la gestion d'un projet informatique ;
A minima une connaissance théorique des méthodes Agile (Scrum par exemple).


INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.

Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.

Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=f2f215014dc276be
CONSULTANT BIG DATA - F/H,Ingeniance,Paris (75),vide,"Contexte de la mission :

Vous intégrez le département informatique en charge des systèmes d'information des données et de la conformité d'une banque d'investissement.
L'entité a pour responsabilité, au plan mondial, l'ensemble des outils informatiques de contrôle des abus de marché et de conformité incluant les outils de gestion des risques opérationnels dont les principaux utilisateurs sont les � Compliance Officers �.
En complément de cette responsabilité directe, l'entité a aussi comme rôle le pilotage des projets exécutés dans les autres entités, relatifs aux contraintes réglementaires.
La prestation consiste à contribuer au projet ARM (Alert Risk Monitoring) pour les besoins de la banque.

Missions:
La mise en place des outils de restitution (webbapp java + Angular, Tableau server).

Sur les périmètres suivants:
La surveillance de la fraude sur les activités de marché de GBIS (SAFE/MAR/AFS).
La sécurité de l'information de GBIS (SAFE/ITS).
La compliance pour le groupe SG (SEGL).
Profil recherché:
De formation Ingénieur ou équivalent (BAC+5), vous justifiez au minimum de 5 années d'expérience en tant que consultant technique (développeur ou architecte big data). Vous disposez d'une bonne capacité d'analyse et avez l'habitude d'évoluer dans des environnements agiles.
Compétences techniques attendues:
Hadoop
Spark
Java/J2ee
Apache
Javascript
Linux
Shell
Agile, scrum


INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.

Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.

Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=c47f01293d8aa3c0
Développement/ AMOE (Talend/Xml/SQL/ Script Shell/ Big Data....,BeMore,Guyancourt (78),vide,"Vos missions consisteront à contribuer:
Développement et test unitaire ;
Test intégration et technique ;
Rédaction des Spécifications Fonctionnelles Détaillées ;
Rédaction des Spécifications Techniques Détaillées ;
Rédaction des Procédures d’installation ;
Support aux recettes fonctionnelles ;
Suivi des tickets d’anomalie et d’évolution ;
Analyse et expertise technique ;
Gestion des demandes auprès de l’exploitant;
Estimation des charges.

Pour mener à bien ce projet, vous devrez justifier de compétences:

Talend, XML, Script shell, Java, JBoss ;
Oracle, Langage SQL, PL/SQL, SQL Developper ;
Ecosystèmes Big-Data (ingestion de données, récupération de données depuis des sources ou API externes, implémentation de traitements distribués, etc.) ;
Architecture orientée Données et Services ;
Technologies Big-Data permettant le traitement et la manipulation de données ;
Connaissance du domaine des risques de crédit (celle de la norme IFRS9 serait un plus) ;

Le Groupe BeMore est une Entreprise de Service Numérique (ESN) d’envergure internationale fondée en 2004 dont le siège social est situé en Suisse.

Avec plus de 1200 collaborateurs répartis en Europe, au Moyen Orient et en Asie, BeMore propose à ses clients des prestations de conseils, réalise des projets à engagement de résultats et dispose d’un centre de R&D orienté innovation.

Nos valeurs Respect, Satisfaction, Passion, Transparence et Résultats s’articulent autour du capital Humain de BeMore. Une démarche interne d’amélioration continue nous permet d’être toujours plus à votre écoute pour mieux vous accompagner au quotidien et dans votre plan de carrière.

En France, nous intervenons depuis nos Agences de Paris, Nice, Aix-en-Provence et Monaco.

Nos consultants sont issus de différents horizons et nous tirons notre richesse de cette grande diversité.
carriere-info - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=5b3cb457deade593
Architecte CLOUD/BIG DATA Paris F/H,NOVAGEN CONSEIL,Puteaux (92),vide,"Dans le cadre du développement de notre agence parisienne, nous recherchons des Architectes CLOUD/BIG DATA, passionnés d’innovation et de développement informatique relatifs aux données.

Notre contexte :
Forte innovation et complexité technique à la pointe des technologies Data actuelles,

Développement de projets Big Data / Smart Data répondant aux besoins de nos clients,

Une montée en compétences encadrée par des sachants, experts des technologies IT Big Data et Datascience,

Travaux de veille IT, veille R&D et développement de solutions prêtes à l’emploi.

Environnement de travail

:

Vous interviendrez au sein d'une équipe spécialisée sur les technologies et concepts Big Data /Smart Data et Data Science.

Vos missions :
Vous serez en charge de :
Concevoir et déployer des architectures techniques, cloud ou onpremise, dédiées au stockage, à la transformation et à la valorisation des données,

Développer au sein d’une équipe Data Novagen des cas d’utilisation des données : Business Intelligence à l’échelle BigData, Industrialisation d’algorithmes de Machine Learning, création de solutions sur les flux de données (Streaming), etc.

Etre garant des bonnes pratiques de développement (Software Craftmanship, Qualité / Développement / Déploiement Continus),

Partager vos accomplissements lors d’événements internes et avec les clients de Novagen.
Profil recherché De formation bac+5 Ingénieur en Informatique et/ou Datascientist, vous disposez d’une expérience significative dans le domaine du Big Data.

Une maîtrise des principales technologies big data en terme de bases de données NoSQL (Elasticsearch, Cassandra, Redis, Hbase), d'écosystèmes (Hadoop, Spark) et de gestion de flux (Kafka, Flink) est nécessaire pour mener à bien vos missions.

Une culture cloud affirmée, qu’elle soit AWS, Azure, GCP ou OpenStack

L’excellence dans au moins un langage : Scala, Java, Python, Kotlin

Véritable pilier de l’équipe Big Data, vos talents de communication sont avérés.

En savoir plus sur Novagen Conseil :
Site : www.novagen.tech

Facebook: https://fr-fr.facebook.com/novagenconseil/

N’hésitez pas à nous écrire !
Entreprise Novagen Conseil mène des actions de Conseil, développement de projets et Formations sur les métiers du Big Data.

Notre but : l'excellence au service des Innovations métiers de nos clients.

Présents sur les Hauts-de-France et l'Ile de France, nous déployons deux offres principales :

Un cabinet de conseil Data : Stratégie / Changement / Architectures ...
Une Data Factory : Développement de solutions : Tableaux de Bord, DataLake, Briques Big Data ...
Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=974b8c23d77ce042
un développeur Big data hadoop/spark (H/F) / Freelance,INFOGENE,Charenton-le-Pont (94),vide,"Infogene c’est avant tout une ESN Engagée, Responsable et Conquérante
Engagée par son adhésion au Pacte mondiale de l’ONU ; certifié GOLD par Ecovadis pour son engagement RSE (Environnement, corruption, droit de l’homme et normes internationales du travail) ;
Responsable du bien être de ses collaborateurs ; labélisé Happy Index at Work (CE, intéressement, rencontres sportives )
Conquérante par sa croissance, 6 ans d’existence, 450 collaborateurs, 2 centres de services et une agence digitale, 37M de CA en 2018, 46 M de CA en 2019 (prévisionnel)
5 pôles d’expertise : Digital, infrastructure, SAP, BI/Big Data et MOA ingénierie.
Venez nous rejoindre www.infogene.fr
secteurs : Pharma, Banque, Energie, Media, Chimie, Retail, Assurances ou encore Telecoms.
Nous recherchons pour l’un de nos clients, un developpeur Big data hadoop/spark

Conseil et support au développement autour des outils de l’écosystème Hadoop afin de faire évoluer les applications développées en Scala / Spark.

La mission nécessite une maîtrise des environnements suivants :

Programmation OBJET

Environnement UNIX/LINUX, Script SHELL, ...

Language SQL

Calcul distribué

Développement JAVA

Scala / Spark

hadoop
Freelance-info - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=ec43121300def615
Développeur Big Data (H/F) / Freelance,INFOGENE,Charenton-le-Pont (94),vide,"Infogene c’est avant tout une ESN Engagée, Responsable et Conquérante
Engagée par son adhésion au Pacte mondiale de l’ONU ; certifié GOLD par Ecovadis pour son engagement RSE (Environnement, corruption, droit de l’homme et normes internationales du travail) ;
Responsable du bien être de ses collaborateurs ; labélisé Happy Index at Work (CE, intéressement, rencontres sportives )
Conquérante par sa croissance, 6 ans d’existence, 450 collaborateurs, 2 centres de services et une agence digitale, 37M de CA en 2018, 46 M de CA en 2019 (prévisionnel)
5 pôles d’expertise : Digital, infrastructure, SAP, BI/Big Data et MOA ingénierie.
Venez nous rejoindre www.infogene.fr
secteurs : Pharma, Banque, Energie, Media, Chimie, Retail, Assurances ou encore Telecoms .

Nous recherchons pour travailler chez l’un de nos clients un Développeur Big DATA :

Développer dans le respect des règles d’architecture définies
Développer et documenter les user stories avec l’assistance du Product Owner.
Produire les scripts de déploiement
Prioriser les corrections des anomalies
Assister les équipes d’exploitation
Participer à la mise en uvre de la chaîne de delivery continue
Automatiser les tests fonctionnels

Travail en équipe, en mode Scrum et Kanban.
Relationnel et Communication (capacité à entrer dans le détail).
Veille sur les évolutions technologiques sur les piles logicielles pratiquées.

Connaissances techniques :
Stockage : HDFS / GCS
Traitement: Maitrise de l’écosystèmeSpark / Kafka/ Scala
Planification : Airflow / Composer
Gouvernance : Apache Atlas / Hive
Méthodologies : Scrum, Kanban, Git
DWH : SQL, Oracle / BigQuery
Delivery : Git, Ansible, Docker, Terraform, Jenkins / Cloud Build
La connaissance de la plateforme Data GCP est un plus
Freelance-info - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=0a1dc31580c54ad8
CONCEPTEUR DEVELOPPEUR BIG DATA,GROUPE ALLIANCE,Paris (75),50 000 € par an,"Dans un Grand Compte dans le secteur de l’Assurance, au sein d’une équipe agile, en collaboration avec la maîtrise d’ouvrage et les correspondants métiers, vous construisez ensemble la solution correspondant aux attentes des métiers et aux enjeux de l’entreprise.

Vous êtes chargé(e) notamment de la conception et du développement des outils Big Data avec l’utilisation de Spark, Python, l’écosystème Hadoop, Pig, Stambia...

De formation Bac+5 en développement informatique (école d’ingénieur ou universitaire), vous avez des expériences significatives dans le domaine du BIG DATA et avez déjà utilisé les outils et langages associés.

Vous avez le sens du service et vous êtes force de proposition. Vous avez l’esprit d’équipe et restez autonome.

Le poste est à pourvoir (CDI ou Freelance) dès que possible et pour longue durée à Paris.
carriere-info - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",vide,,,06/10/2019,vjk=99c901c440d504b0&advn=2715648309700515
ADMINISTRATEUR BIG DATA,GENIOUS SYSTEMS,Issy-les-Moulineaux (92),vide,"Votre mission s'effectue au sein du département SI, au sein de l'équipe Réseau. Votre environnement technique de travail repose sur un cadre très BIG DATA. Votre rôle est le suivant: êtes garant du système déployé et de sa supervision (TESTBED, PREPROD et PROD), êtes garant des outils de déploiement, analysez constamment et pro activement l'état du système, mettez en œuvre les divers outils nécessaires quant à la supervision optimale du système, faîtes les gestes d'administration nécessaires au bon fonctionnement du cluster, effectuez les mises en PREPROD et PROD.L'environnement technique : Hadoop, Elasticsearch, Kafka, Kubernetes, , Mongo DB etc...

Pour cette mission il convient d'avoir au minimum 2 ans d'expérience sur un poste similaire.Etre titulaire d'un Bac+5 en Informatique ou formation équivalente.Si vous souhaitez travailler au sein d'un environnement technique VERY BIG DATA, n'hésitez pas à nous adresser votre CV!
LesJeudis.com - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 1 jour,,,06/10/2019,vjk=68f3f52a0f6dfb64&advn=7674958368030736
Développement/ AMOE (Talend/Xml/SQL/ Script Shell/ Big Data....,BeMore,Guyancourt (78),vide,"Vos missions consisteront à contribuer:
Développement et test unitaire ;
Test intégration et technique ;
Rédaction des Spécifications Fonctionnelles Détaillées ;
Rédaction des Spécifications Techniques Détaillées ;
Rédaction des Procédures d’installation ;
Support aux recettes fonctionnelles ;
Suivi des tickets d’anomalie et d’évolution ;
Analyse et expertise technique ;
Gestion des demandes auprès de l’exploitant;
Estimation des charges.

Pour mener à bien ce projet, vous devrez justifier de compétences:

Talend, XML, Script shell, Java, JBoss ;
Oracle, Langage SQL, PL/SQL, SQL Developper ;
Ecosystèmes Big-Data (ingestion de données, récupération de données depuis des sources ou API externes, implémentation de traitements distribués, etc.) ;
Architecture orientée Données et Services ;
Technologies Big-Data permettant le traitement et la manipulation de données ;
Connaissance du domaine des risques de crédit (celle de la norme IFRS9 serait un plus) ;

Le Groupe BeMore est une Entreprise de Service Numérique (ESN) d’envergure internationale fondée en 2004 dont le siège social est situé en Suisse.

Avec plus de 1200 collaborateurs répartis en Europe, au Moyen Orient et en Asie, BeMore propose à ses clients des prestations de conseils, réalise des projets à engagement de résultats et dispose d’un centre de R&D orienté innovation.

Nos valeurs Respect, Satisfaction, Passion, Transparence et Résultats s’articulent autour du capital Humain de BeMore. Une démarche interne d’amélioration continue nous permet d’être toujours plus à votre écoute pour mieux vous accompagner au quotidien et dans votre plan de carrière.

En France, nous intervenons depuis nos Agences de Paris, Nice, Aix-en-Provence et Monaco.

Nos consultants sont issus de différents horizons et nous tirons notre richesse de cette grande diversité.
carriere-info - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=5b3cb457deade593
Développeur big data,HIGHTEAM,Val-de-Marne,vide,"Notre client recherche un développeur big data.

Les compétences requises sont :
SQL (hive)
Shell unix (.sh .ksh)
Langage de programation parmi Python, Scala et Java
Hadoop (MapR)
Spark
ETL Talend
ElasticSearch
Apache Hbase
Teradata
Apache Sqoop
carriere-info - il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",vide,,,06/10/2019,vjk=758eddf3105c3341
Consultant big data - f/h,Ingéniance,Paris (75),vide,"Consultant big data - f/h
Contexte de la mission :

Vous intégrez le département informatique en charge des systèmes d'information des données et de la conformité d'une banque d'investissement.
L'entité a pour responsabilité, au plan mondial, l'ensemble des outils informatiques de contrôle des abus de marché et de conformité incluant les outils de gestion des risques opérationnels dont les principaux utilisateurs sont les � Compliance Officers �.
En complément de cette responsabilité directe, l'entité a aussi comme rôle le pilotage des projets exécutés dans les autres entités, relatifs aux contraintes réglementaires.
La prestation consiste à contribuer au projet ARM (Alert Risk Monitoring) pour les besoins de la banque.

Missions:
Développement d'une infrastructure Bigdata (Hadoop).
La mise en place des outils de restitution (webbapp java + Angular, Tableau server).

Sur les périmètres suivants:
La surveillance de la fraude sur les activités de marché de GBIS (SAFE/MAR/AFS).
La sécurité de l'information de GBIS (SAFE/ITS).
La compliance pour le groupe SG (SEGL).
Profil recherché:
De formation Ingénieur ou équivalent (BAC+5), vous justifiez au minimum de 5 années d'expérience en tant que consultant technique (développeur ou architecte big data). Vous disposez d'une bonne capacité d'analyse et avez l'habitude d'évoluer dans des environnements agiles.
Compétences techniques attendues:
Hadoop
Spark
Java/J2ee
Apache
Javascript
Linux
Shell
Agile, scrum


INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.

Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.

Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
eFinancialCareers.fr - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",vide,,,06/10/2019,vjk=c29c2290461ab4d0
Ingenieur developpement big data - f/h,Ingéniance,Paris (75),vide,"Ingenieur developpement big data - f/h
Contexte de la mission:
Le Bénéficiaire souhaite mettre en place cette nouvelle application (notamment assurer la performance en insertion et en requetage) avec des méthodes agiles.
A ce titre le Bénéficiaire souhaite bénéficier de l'expertise du Prestataire en termes d'Expertise technique et/ou fonctionnelle.

Dans ce cadre, la Prestation consiste à contribuer à/au(x):
Conception des solutions techniques
Développement du code permettant l'intégration d'indicateurs de risque de marché et leur distribution
Optimisation des performances
L'assistance à la MOA lors des spécifications fonctionnelles et des tests en UAT
Tests unitaires (TDD) et test d'acceptance (BDD)
La documentation technico-fonctionnelle

Profil recherché:
Diplômé(e) d'une école d'ingénieurs ou de formation équivalente (Bac+5), vous justifiez d'une première expérience en développement acquise dans le cadre d'un projet d'école ou d'un stage.
Doté d'un bon relationnel, vous disposez d'une bonne capacité d'analyse. Vous justifiez d'un souhait réel de travailler sur du big data.
Compétences techniques requises:
Code Java
Documentation: JIVE/Wiki
Spécifications technique

INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies. Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps. Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
eFinancialCareers.fr - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",vide,,,06/10/2019,vjk=7c3f47580ad1969d
consultant informatique Big Data,1G-LINK CONSULTING,Paris (75),vide,"La société 1G-LINK est spécialisée dans les nouvelles technologies. Notre objectif est d’accompagner les DSI de nos clients sur le long terme sur la construction ou refonte de leur système d’information (SI) au travers de prestations de conseil à forte valeur ajoutée visant à définir et mettre en uvre les architectures applicatives et techniques et identifier les étapes de transition du SI pour répondre aux enjeux stratégiques de l’entreprise.

Afin de renforcer nos équipes, nous recherchons des consultants expérimentés sur les nouvelles technologies pour accompagner nos clients au quotidien. Vous participerez à des projets enrichissants et aiderez les DSI à définir une stratégie d’innovation autour de leur système d’information tout en leur apportant vos compétences.

Profil recherché :
De formation supérieure Bac+5, vous avez une expérience significative de 5 ans au cours de laquelle vous avez pu démontrer des qualités de communication, d’autonomie, une expérience réussie en tant que Consultant Big Data.

Durée : Mission longue
Poste : Consultant Big Data
carriere-info - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",vide,,,06/10/2019,vjk=7c23b1b750d64559
Consultant Big Data,EDEN GROUP,Paris (75),vide,"En tant que Consultant(e) Big Data, vous serez intégré(e) à une équipe de projet et les principales missions qui vous seront confiées seront les suivantes : Conception et mise en œuvre de plateformes basées sur des technologies Big Data ; Installation et déploiement de clusters logiciels ; Conception et mise en œuvre de flux d’intégration (mode batch ou temps réel) de données structurées/non structurées et volumineuses ; Optimisation technique et fonctionnelle en termes de performance et de qualité logicielle ; Mise en œuvre de la stratégie d’exploitation des plateformes Big Data (gestion des sauvegardes, procédures de récupération des données, mises à jour et montées de version logicielles…) ; Transfert de compétences et animation de formations ; Préconisation d’outils et/ou technologies et veille technologique continue.

Vous disposez d’un profil Ingénieur Informatique (BAC +5). Vous justifiez d’au moins 3 ans d'expérience dans cette fonctionL’écosystème Hadoop (HDFS, Pig, Hive, Sqoop, Flume,…), Spark, Python ou encore Elasticsearch sont vos technologies de prédilection.Les langages orientés objet types Java, C++,…et de scripting (python, shell,…) n’ont plus aucun secret pour vous.Vous connaissez le processus de création d'une application web avec une API et sait assurer son hébergement sur un serveur Linux, vous savez utiliser un Framework Javascript tel que Angular, BackBone, Ember ou React pour créer une application Web interactive en Javascript communiquant avec une application server, connaissance du scripting Shell et Python est un plusLe plus qui peut faire la différence : vous utilisez les applications Node.js, les modules NPM et notamment Express.js., Git, SQL et NoSQL.
LesJeudis.com - il y a 29 jours
- Continuer pour postuler
Signaler cette offre d'emploi",vide,,,06/10/2019,vjk=b8bec7ec97b32869
Expert Big Data Streaming / Freelance,Nexius Finance,Massy (91),500 € - 550 € par semaine,"Expert ecosystème Big Data : Kafka, Spark, Cassandra, ElasticSearch

Langage : Scala / Java

Environnement : DevOps, Ansible, Git, sbt, CI, Mesos, Docker, Kubernetes, GCP
Méthode Agile
Capacité d’analyse Indépendance Gestion du temps Disponibilité

Livrables:
Documentation, Packages RPM / Docker

Technologies :
CLOUD GCP
HADOOP
LINUX
SHELL
Freelance-info - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=4f54bc4b85f976fb
